Acer Iconia Tab 10,5,"10.1""",✔,
Acer Iconia Tab 8 ,5,"8""",x,
Acer Iconia One 8 ,5,"8""",✔,
"Amazon Fire 7""",2,"7""",✔,
"Digiland 10.1""",2,"8""",✔,
"Digiland 7"" Quad-Core",2,"7""",✔,
Insignia Flex 8,2,"8""",✔,
"Insignia Flex 10.1""",5,"10.1""",✔,
iPad Air,5,"9.7""",✔,
iPad Air 2,8,"9.7""",✔,Anti-Glare display best in class
iPad mini 2,5,"7.9""",✔,
iPad mini 2,5,"7.9""",✔,Great combination of size and image quality
iPad Pro 12.9-inch ,8,"12.9""",x,
iPad Pro 10.5-inch ,12,"10.5""",✔,
iPad Pro 9.7-inch ,12,"9.7""",✔,
LeapFrog Epic,2,"7""",x,
Lenovo Tab 2 A8,5,"8""",✔,
Lenovo Tablet 10.1,8,"10.1""",✔,
"NuVision 7.85""",3,"7.85""",✔,
RCA 10 Viking II,2,"10.1""",✔,
Samsung Galaxy Tab A 7,5,"7""",x,
Samsung Galaxy Tab E Lite 7,2,"7""",x,
"Samsung Galaxy Tab A 8""",5,"8""",x,
Samsung Galaxy Tab S2 8.0,8,"8""",x,
Samsung Galaxy Tab E 9.6,5,"9.6""",x,
Samsung Galaxy Tab A 9.7,5,"9.7""",x,
Samsung Galaxy Tab S2 9.7,8,"9.7""",x,
Samsung Galaxy Tab A 10.1,8,"10.1""",x,
"Trio 10.1""",2,"10.1""",✔,
